"Given Name","Family name","Age","Age type"
"Mihael","Perić","69","Elder"
"Leon","Ivić","20","Child"
"Damir","Davorić","46","Grownup"
"Ivan","Domajić","41","Grownup"
"Tihana","Tihanić","69","Elder"
"Matija","Matijević","5","Child"
"Ivan","Petrić","28","Grownup"
"Davor","Perić","3","Child"
"Lucija","Marković","5","Child"
"Damir","Mijić","89","Elder"
"Petra","Tihanić","5","Child"
"Matija","Tihanić","33","Grownup"
"Mihael","Antonić","28","Grownup"
"Antonio","Mihalić","46","Grownup"
"Petra","Matijević","28","Grownup"
"Ivan","Mihalić","14","Child"
"Matija","Domajić","20","Child"
"Antonio","Perić","89","Elder"
"Tihana","Domajić","24","Grownup"
"Mia","Lucović","20","Child"
"Lucija","Majević","17","Child"
"Tihana","Leonović","20","Child"
"Leon","Marković","14","Child"
"Ivana","Tihanić","5","Child"
"Mia","Mijić","41","Grownup"
"Matija","Domajić","14","Child"
"Pero","Ivanović","50","Grownup"
"Matija","Ivanović","41","Grownup"
"Mihael","Ivanović","50","Grownup"
"Leon","Lucović","33","Grownup"
"Petra","Lucović","5","Child"
"Maja","Ivić","72","Elder"
"Domagoj","Petrić","20","Child"
"Antonio","Petrić","33","Grownup"
"Domagoj","Perić","28","Grownup"
"Ivan","Ivić","28","Grownup"
"Ivan","Mihalić","3","Child"
"Mia","Antonić","55","Grownup"
"Davor","Leonović","5","Child"
"Petra","Mihalić","89","Elder"
"Leon","Mihalić","24","Grownup"
"Tihana","Domajić","69","Elder"
"Mia","Leonović","24","Grownup"
"Domagoj","Perić","89","Elder"
"Matija","Mijić","31","Grownup"
"Davor","Petrić","5","Child"
"Maja","Antonić","55","Grownup"
"Matija","Mijić","46","Grownup"
"Domagoj","Marković","55","Grownup"
"Matija","Matijević","14","Child"
"Domagoj","Damirović","31","Grownup"
"Ivan","Mijić","33","Grownup"
"Mia","Tihanić","33","Grownup"
"Marko","Perić","41","Grownup"
"Lucija","Ivanović","50","Grownup"
"Mia","Lucović","33","Grownup"
"Ivan","Domajić","24","Grownup"
"Leon","Tihanić","33","Grownup"
"Leon","Damirović","28","Grownup"
"Ivan","Davorić","69","Elder"
"Lucija","Ivić","17","Child"
"Damir","Leonović","72","Elder"
"Pero","Perić","46","Grownup"
"Leon","Davorić","28","Grownup"
"Ivan","Lucović","55","Grownup"
"Ivana","Domajić","3","Child"
"Antonio","Perić","5","Child"
"Pero","Leonović","3","Child"
"Ivana","Marković","46","Grownup"
"Antonio","Davorić","69","Elder"
"Petra","Lucović","3","Child"
"Leon","Tihanić","41","Grownup"
"Damir","Lucović","5","Child"
"Leon","Mijić","69","Elder"
"Matija","Domajić","17","Child"
"Damir","Matijević","72","Elder"
"Tihana","Majević","28","Grownup"
"Petra","Ivić","20","Child"
"Mia","Mijić","20","Child"
"Pero","Matijević","46","Grownup"
"Mia","Marković","24","Grownup"
"Marko","Tihanić","31","Grownup"
"Mia","Ivanović","50","Grownup"
"Tihana","Perić","41","Grownup"
"Mihael","Davorić","17","Child"
"Mia","Majević","28","Grownup"
"Pero","Ivić","17","Child"
"Maja","Majević","20","Child"
"Maja","Majević","5","Child"
"Davor","Mihalić","24","Grownup"
"Domagoj","Damirović","69","Elder"
"Maja","Ivanović","20","Child"
"Ivana","Matijević","5","Child"
"Tihana","Marković","55","Grownup"
"Leon","Marković","33","Grownup"
"Leon","Matijević","33","Grownup"
"Davor","Lucović","72","Elder"
